product_id,product_type,product_name,size,colour,price,quantity_x,description,sales_id,order_id,price_per_unit,quantity_y,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",22,5,96,3,288,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
148,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",20,5,91,2,182,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
475,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",21,5,118,2,236,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
635,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",25,5,93,3,279,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
639,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",26,5,93,3,279,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
695,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",27,5,113,1,113,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
830,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",23,5,117,3,351,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
1209,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",24,5,105,3,315,441,14719,2021-3-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
286,Shirt,Cuban Collar,S,orange,93,50,"A orange coloured, S sized, Cuban Collar Shirt",2243,454,105,2,210,441,40423,2021-3-29,2021-04-12,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
382,Shirt,Henley,M,violet,92,44,"A violet coloured, M sized, Henley Shirt",2244,454,94,2,188,441,40423,2021-3-29,2021-04-12,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
